#FORMAT=WebAnno TSV 3.1
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.Tex|LayoutElement
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Braun an Gerhard Rom , November 1835 Bei einem R\u00FCckblick auf die Ausgrabungen , von deren Ergiebigkeit die Erweiterung des arch\u00E4ologischen Wisses mehr .
1-1	0-5	Braun	NE	Braun	_	*	PERauthor	
1-2	6-8	an	APPR	an	_	_	_	
1-3	9-16	Gerhard	NE	Gerhard	_	*	PERaddressee	
1-4	17-20	Rom	NE	Rom	_	*	PLACEfrom	
1-5	21-22	,	$,	,	_	*[4]	DATEletter[4]	
1-6	23-31	November	NN	November	_	*[4]	DATEletter[4]	
1-7	32-36	1835	CARD	@card@	_	*[4]	DATEletter[4]	
1-8	37-40	Bei	APPR	bei	_	_	_	
1-9	41-46	einem	ART	eine	_	_	_	
1-10	47-56	Rückblick	NN	Rückblick	_	_	_	
1-11	57-60	auf	APPR	auf	_	_	_	
1-12	61-64	die	ART	die	_	_	_	
1-13	65-77	Ausgrabungen	NN	Ausgrabung	_	_	_	
1-14	78-79	,	$,	,	_	_	_	
1-15	80-83	von	APPR	von	_	_	_	
1-16	84-89	deren	PRELAT	die	_	_	_	
1-17	90-102	Ergiebigkeit	NN	<unknown>	_	_	_	
1-18	103-106	die	ART	die	_	_	_	
1-19	107-118	Erweiterung	NN	Erweiterung	_	_	_	
1-20	119-122	des	ART	die	_	_	_	
1-21	123-138	archäologischen	ADJA	archäologisch	_	_	_	
1-22	139-145	Wisses	NN	<unknown>	_	_	_	
1-23	146-150	mehr	ADV	mehr	_	_	_	
1-24	151-152	.	$.	.	_	_	_	

#Text=als zu irgend einer anderen Zeit abh\u00E4ngig gemacht ist , stellen sich wiederum die Grabungen in Etruriens Binnen- und K\u00FCstenlande bei weitem als die ergiebigeren und wichtigeren heraus .
2-1	153-156	als	KOUS	als	_	_	_	
2-2	157-159	zu	APPR	zu	_	_	_	
2-3	160-166	irgend	ADV	irgend	_	_	_	
2-4	167-172	einer	ART	eine	_	_	_	
2-5	173-180	anderen	PIAT	andere	_	_	_	
2-6	181-185	Zeit	NN	Zeit	_	_	_	
2-7	186-194	abhängig	ADJD	abhängig	_	_	_	
2-8	195-202	gemacht	VVPP	machen	_	_	_	
2-9	203-206	ist	VAFIN	sein	_	_	_	
2-10	207-208	,	$,	,	_	_	_	
2-11	209-216	stellen	VVFIN	stellen	_	_	_	
2-12	217-221	sich	PRF	sich	_	_	_	
2-13	222-230	wiederum	ADV	wiederum	_	_	_	
2-14	231-234	die	ART	die	_	_	_	
2-15	235-244	Grabungen	NN	Grabung	_	_	_	
2-16	245-247	in	APPR	in	_	_	_	
2-17	248-257	Etruriens	NE	<unknown>	_	*	PLACEmentioned	
2-18	258-265	Binnen-	TRUNC	Binnen-	_	_	_	
2-19	266-269	und	KON	und	_	_	_	
2-20	270-281	Küstenlande	NN	<unknown>	_	_	_	
2-21	282-285	bei	APPR	bei	_	_	_	
2-22	286-292	weitem	ADJA	weit	_	_	_	
2-23	293-296	als	KOKOM	als	_	_	_	
2-24	297-300	die	ART	die	_	_	_	
2-25	301-313	ergiebigeren	ADJA	ergiebig	_	_	_	
2-26	314-317	und	KON	und	_	_	_	
2-27	318-329	wichtigeren	ADJA	wichtig	_	_	_	
2-28	330-336	heraus	PTKVZ	heraus	_	_	_	
2-29	337-338	.	$.	.	_	_	_	

#Text=Aehnliche Unternehmungen sind auch in Griechenland nicht ohne erfreuliche Resultate geblieben und ohne alle Ausbeute werden auch die Nachforschungen in Pompeji f\u00FCr die n\u00E4chsten Jahrzehnte nie bleiben , in beiden Orten jedoch , wir meinen in Griechenland vorzugsweise Athen und Pompeji , w\u00FCrden wir uns leicht in unseren Erwartungen get\u00E4uscht sehen , wollten wir den Ma\u00DFstab fr\u00FCherer Zeiten und der f\u00FCr Griechenland so g\u00FCnstig umgewandelten Verh\u00E4ltnisse anlegen .
3-1	339-348	Aehnliche	ADJA	<unknown>	_	_	_	
3-2	349-363	Unternehmungen	NN	Unternehmung	_	_	_	
3-3	364-368	sind	VAFIN	sein	_	_	_	
3-4	369-373	auch	ADV	auch	_	_	_	
3-5	374-376	in	APPR	in	_	_	_	
3-6	377-389	Griechenland	NE	Griechenland	_	*	PLACEmentioned	
3-7	390-395	nicht	PTKNEG	nicht	_	_	_	
3-8	396-400	ohne	APPR	ohne	_	_	_	
3-9	401-412	erfreuliche	ADJA	erfreulich	_	_	_	
3-10	413-422	Resultate	NN	Resultat	_	_	_	
3-11	423-432	geblieben	VVPP	bleiben	_	_	_	
3-12	433-436	und	KON	und	_	_	_	
3-13	437-441	ohne	APPR	ohne	_	_	_	
3-14	442-446	alle	PIAT	alle	_	_	_	
3-15	447-455	Ausbeute	NN	Ausbeute	_	_	_	
3-16	456-462	werden	VAFIN	werden	_	_	_	
3-17	463-467	auch	ADV	auch	_	_	_	
3-18	468-471	die	ART	die	_	_	_	
3-19	472-487	Nachforschungen	NN	Nachforschung	_	_	_	
3-20	488-490	in	APPR	in	_	_	_	
3-21	491-498	Pompeji	NE	<unknown>	_	*	PLACEmentioned	
