#FORMAT=WebAnno TSV 3.1
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=4 Gliedrung des jonischen Capitells .
1-1	0-1	4	CARD	4	_	_	
1-2	2-11	Gliedrung	NN	<unknown>	_	_	
1-3	12-15	des	ART	die	_	_	
1-4	16-25	jonischen	ADJA	<unknown>	_	_	
1-5	26-35	Capitells	NN	<unknown>	*	OBJ	
1-6	36-37	.	$.	.	_	_	

#Text=Braun an Gerhard Rom , November 1835 Von dem Fries , der mit Reliefs geschm\u00FCckt war , haben sich 5 St\u00FCcke von verschiedener L\u00E4nge vorgefunden .
2-1	38-43	Braun	NE	Braun	*	PERauthor	
2-2	44-46	an	APPR	an	_	_	
2-3	47-54	Gerhard	NE	Gerhard	*	PERaddressee	
2-4	55-58	Rom	NE	Rom	*	PLACEfrom	
2-5	59-60	,	$,	,	*[5]	DATEletter[5]	
2-6	61-69	November	NN	November	*[5]	DATEletter[5]	
2-7	70-74	1835	CARD	@card@	*[5]	DATEletter[5]	
2-8	75-78	Von	APPR	von	_	_	
2-9	79-82	dem	ART	die	_	_	
2-10	83-88	Fries	NN	Fries	*	OBJ	
2-11	89-90	,	$,	,	_	_	
2-12	91-94	der	PRELS	die	_	_	
2-13	95-98	mit	APPR	mit	_	_	
2-14	99-106	Reliefs	NN	Relief	*	OBJ	
2-15	107-117	geschmückt	VVPP	schmücken	_	_	
2-16	118-121	war	VAFIN	sein	_	_	
2-17	122-123	,	$,	,	_	_	
2-18	124-129	haben	VAFIN	haben	_	_	
2-19	130-134	sich	PRF	sich	_	_	
2-20	135-136	5	CARD	5	_	_	
2-21	137-143	Stücke	NN	Stück	_	_	
2-22	144-147	von	APPR	von	_	_	
2-23	148-161	verschiedener	ADJA	verschieden	_	_	
2-24	162-167	Länge	NN	Länge	_	_	
2-25	168-179	vorgefunden	VVPP	vorfinden	_	_	
2-26	180-181	.	$.	.	_	_	

#Text=Sie entsprechen ihren Darstellungen nach ganz den in dem brittischen Museum aufbewali~en Gegenst\u00E4nden .
3-1	182-185	Sie	PPER	Sie[33]|sie[34]	_	_	
3-2	186-197	entsprechen	VVFIN	entsprechen	_	_	
3-3	198-203	ihren	PPOSAT	ihr	_	_	
3-4	204-217	Darstellungen	NN	Darstellung	_	_	
3-5	218-222	nach	APPR	nach	_	_	
3-6	223-227	ganz	ADV	ganz	_	_	
3-7	228-231	den	ART	die	_	_	
3-8	232-234	in	APPR	in	_	_	
3-9	235-238	dem	ART	die	_	_	
3-10	239-250	brittischen	ADJA	<unknown>	*[8]	ORGmentioned[8]	
3-11	251-257	Museum	NN	Museum	*[8]	ORGmentioned[8]	
3-12	258-270	aufbewali~en	NE	<unknown>	_	_	
3-13	271-283	Gegenständen	NN	Gegenstand	_	_	
3-14	284-285	.	$.	.	_	_	

