String;String_korr;PosTag;File;NERTag;NERTag_korr;SentenceNr.;Arachne-ID;Thesaurus;Link außerhalb;Sonstige Notiz
PropylÃ¤en;Propyläen;NN;2_Braun1835_page042.iob;OBJ;;3;2100007;;;
Parthenon;Parthenon;NN;2_Braun1835_page042.iob;OBJ;;4;2100006;;;
PropylÃ¤en;Propyläen;NN;2_Braun1835_page042.iob;OBJ;;5;2100007;;;
Mauersubstruction;Mauersubstruction;NN;2_Braun1835_page042.iob;OBJ;;5;2104508;;;
Grotten;Grotten;NN;2_Braun1835_page042.iob;OBJ;;7;;Kultgrotte;;
Friesfragment davon mit Reliefs;Friesfragment davon mit Reliefs;NN PAV APPR NN;2_Braun1835_page042.iob;OBJ;;13;202739;;;
Tempelchen;Tempelchen;NN;2_Braun1835_page042.iob;OBJ;;13;2100111;;;
Architekturfragmente;Architekturfragmente;NN;2_Braun1835_page042.iob;OBJ;;13;2100111;;;
Mauern;Mauern;NN;2_Braun1835_page043.iob;OBJ;;0;2104508;;;
Tempelchen;Tempelchen;NN;2_Braun1835_page043.iob;OBJ;;3;2100111;;;
Substruction;Substruction;NN;2_Braun1835_page043.iob;OBJ;;3;2104508;;;
Amphyprostylos;Amphyprostylos;NN;2_Braun1835_page043.iob;OBJ;;5;2100111;;;
Nische;Nische;NN;2_Braun1835_page043.iob;OBJ;;7;2100111;;;
Reliefs;Reliefs;NN;2_Braun1835_page043.iob;OBJ;;7;2100111;;;
SÃ¤ulen;Säulen;NN;2_Braun1835_page043.iob;OBJ;;8;2100111;;;
Capitelle;Capitelle;NN;2_Braun1835_page043.iob;OBJ;;9;2100111;;;
SÃ¤ulen;Säulen;NN;2_Braun1835_page043.iob;OBJ;;10;2100111;;;
den'Capitellen;Capitellen;NN;2_Braun1835_page043.iob;OBJ;;10;2100111;;;
Basen;Basen;NN;2_Braun1835_page043.iob;OBJ;;10;2100111;;;
Anten;Anten;NN;2_Braun1835_page043.iob;OBJ;;11;2100111;;;
Capitell;Capitell;NN;2_Braun1835_page043.iob;OBJ;;11;2100111;;;
Gesimsfragment;Gesimsfragment;NN;2_Braun1835_page043.iob;OBJ;;11;2100111;;;
Architravs;Architravs;NN;2_Braun1835_page043.iob;OBJ;;12;2100111;;;
Capitells;Capitells;NN;2_Braun1835_page044.iob;OBJ;;0;2100111;;;
Fries;Fries;NN;2_Braun1835_page044.iob;OBJ;;1;602984;;;
Reliefs;Reliefs;NN;2_Braun1835_page044.iob;OBJ;;1;602984;;;
Reliefs;Reliefs;NN;2_Braun1835_page044.iob;OBJ;;10;602984;;;
2.ten StÃ¼ck;2.ten Stück;ADJA NN;2_Braun1835_page044.iob;OBJ;;11;602984;;;
Reliefs;Reliefs;NN;2_Braun1835_page045.iob;OBJ;;3;602984;;;
FriesstÃ¼cke;Friesstücke;NN;2_Braun1835_page045.iob;OBJ;;10;602984;;;
Frieses;Frieses;NN;2_Braun1835_page046.iob;OBJ;;4;602984;;;
Gesims;Gesims;NN;2_Braun1835_page046.iob;OBJ;;11;2100111;;;
LÃ¶wenkÃ¶p ! en;Löwenköpfen;NN $. FM;2_Braun1835_page046.iob;OBJ;;11;2100111;;;
Daches;Daches;NN;2_Braun1835_page046.iob;OBJ;;12;2100111;;;
Frontespizes;Frontespizes;NN;2_Braun1835_page046.iob;OBJ;;12;2100111;;;
Marmortafel mit Reliefs;Marmortafel mit Reliefs;NN APPR NN;2_Braun1835_page046.iob;OBJ;;14;135796;;;
TemPelchens;Tempelchens;NN;2_Braun1835_page046.iob;OBJ;;14;2100111;;;
Fries;Fries;NN;2_Braun1835_page047.iob;OBJ;;1;202638;;;
phigalischen Tempels;phigalischen Tempels;ADJA NN;2_Braun1835_page047.iob;OBJ;;1;2100044;;;
Piedestall des Agrippa;Piedestall des Agrippa;NN ART NN;2_Braun1835_page047.iob;OBJ;;2;2103572;;;
Tempels;Tempels;NN;2_Braun1835_page047.iob;OBJ;;5;2100111;;;
Substruction;Substruction;NN;2_Braun1835_page047.iob;OBJ;;5;2104508;;;
Reiterstatuen;Reiterstatuen;NN;2_Braun1835_page047.iob;OBJ;;9;2103572;;;bei Pausanias beschriebene Reiterstatuen
Bronzestatue;Bronzestatue;NN;2_Braun1835_page047.iob;OBJ;;13;20618;;;
rÃ¶mische Inschrift;römische Inschrift;ADJA NN;2_Braun1835_page047.iob;OBJ;;15;;;http://cil-old.bbaw.de/dateien/cil_view.php?KO=KO0043198;
TerracottenfigÃ¼rchen;Terracottenfigürchen;NN;2_Braun1835_page048.iob;OBJ;;1;;Terrakottafigur;;
antiken TÃ¶pferofens;antiken Töpferofens;ADJA NN;2_Braun1835_page048.iob;OBJ;;1;2113409;;;
Bronzestatue;Bronzestatue;NN;2_Braun1835_page048.iob;OBJ;;3;12698;;;
Statue;Statue;NN;2_Braun1835_page048.iob;OBJ;;6;12698;;;
alten Stadt;alten Stadt;ADJA NN;2_Braun1835_page048.iob;OBJ;;6;8005951;;;
bronzener Helmbusch;bronzener Helmbusch;ADJA NE;2_Braun1835_page048.iob;OBJ;;7;;"Helmbusch; Bronze";;
Statue;Statue;NN;2_Braun1835_page048.iob;OBJ;;8;12698;;;
alten Stadt;alten Stadt;ADJA NN;2_Braun1835_page048.iob;OBJ;;11;8005951;;;
Necropole;Necropole;NN;2_Braun1835_page048.iob;OBJ;;11;;"Nekropole; Vulci";;
GrÃ¤bergerÃ¤then;Gräbergeräthen;NN;2_Braun1835_page048.iob;OBJ;;12;;Grabinventar;;
Vasen;Vasen;NN;2_Braun1835_page048.iob;OBJ;;12;;Gefäß;;
Vasen;Vasen;NN;2_Braun1835_page049.iob;OBJ;;1;;Gefäß;;
kelchfÃ¶rmigen GefÃ¤ÃŸ von weiÃŸlichem Grund;kelchförmigen Gefäß von weißlichem Grund;ADJA NN APPR ADJA NN;2_Braun1835_page049.iob;OBJ;;2;;;http://www.beazley.ox.ac.uk/record/3DF9BD64-0AF9-464D-A224-52ADA8232389;
Ein anderes kleines GefÃ¤ÃŸ;Ein anderes kleines Gefäß;ART PIAT ADJA NN;2_Braun1835_page049.iob;OBJ;;3;;;http://www.beazley.ox.ac.uk/record/B17BD9E9-B9A6-4372-BD52-B71EA848FFE4;
ein anderes kleines GefÃ¤ÃŸ sein , eine Art GieÃŸkanne;ein anderes kleines Gefäß sein , eine Art Gießkanne;ART PIAT ADJA NN VAINF $, ART NN NN;2_Braun1835_page049.iob;OBJ;;6;;;http://www.beazley.ox.ac.uk/record/66633682-A3B3-4384-9EBA-0619F4C844D5;
Goldschmuck;Goldschmuck;NN;2_Braun1835_page049.iob;OBJ;;9;;"Schmuck; Gold";;
BronzegerÃ¤then;Bronzegeräthen;NN;2_Braun1835_page049.iob;OBJ;;10;;"Gerät; Bronze";;
Spiegel~;Spiegel;NN;2_Braun1835_page049.iob;OBJ;;10;;;https://digi.ub.uni-heidelberg.de/diglit/gerhard1845bd2/0136;"Spiegel im Museo Gregoriano des Vatikans; MonInst II, XXIX"
Spiegels;Spiegels;NN;2_Braun1835_page050.iob;OBJ;;2;;;https://digi.ub.uni-heidelberg.de/diglit/gerhard1845bd2/0136;"Spiegel im Museo Gregoriano des Vatikans; MonInst II, XXIX"
