String;String_korr;PosTag;File;NERTag;NERTag_korr;SentenceNr.;DAI_ID;GND_ID
Rom;Rom;NE;2_Braun1835_page044.iob;PLACEfrom;;2;2323295;4050471-2
Athen;Athen;NE;2_Braun1835_page044.iob;PLACEmentioned;;5;2070134;4003366-1
Rom;Rom;NE;2_Braun1835_page045.iob;PLACEfrom;;1;2323295;4050471-2
Rom;Rom;NE;2_Braun1835_page046.iob;PLACEfrom;;1;2323295;4050471-2
Griechenland;Griechenland;NE;2_Braun1835_page046.iob;PLACEmentioned;;14;2070079;4022047-3
Rom;Rom;NE;2_Braun1835_page047.iob;PLACEfrom;;1;2323295;4050471-2
Athen;Athen;NE;2_Braun1835_page047.iob;PLACEmentioned;;3;2070134;4003366-1
Etrurien;Etrurien;NN;2_Braun1835_page047.iob;PLACEmentioned;;11;2072406;4256476-1
Vulci;Vulci;NE;2_Braun1835_page047.iob;PLACEmentioned;;12;2072886;4064068-1
Caeri;Caeri;NE;2_Braun1835_page047.iob;PLACEmentioned;;13;2180522;4089100-8
Cerveteri;Cerveteri;NE;2_Braun1835_page047.iob;PLACEmentioned;;13;2180522;4089100-8
Todi;Todi;NN;2_Braun1835_page047.iob;PLACEmentioned;;14;2180922;4119637-5
Chiusi;Chiusi;NE;2_Braun1835_page047.iob;PLACEmentioned;;15;2337545;4085259-3
Vulci;Vulci;NE;2_Braun1835_page047.iob;PLACEmentioned;;16;2072886;4064068-1
Rom;Rom;NE;2_Braun1835_page048.iob;PLACEfrom;;1;2323295;4050471-2
Etrurien;Etrurien;NN;2_Braun1835_page048.iob;PLACEmentioned;;3;2072406;4256476-1
Rom;Rom;NE;2_Braun1835_page049.iob;PLACEfrom;;1;2323295;4050471-2
Rom;Rom;NE;2_Braun1835_page050.iob;PLACEfrom;;3;2323295;4050471-2
Rom;Rom;NE;2_Braun1835_page051.iob;PLACEfrom;;1;2323295;4050471-2
Caeri;Caeri;NE;2_Braun1835_page051.iob;PLACEmentioned;;10;2180522;4089100-8
Volci;Volci;NE;2_Braun1835_page051.iob;PLACEmentioned;;10;2072886;4064068-1
Rom;Rom;NE;2_Braun1835_page052.iob;PLACEfrom;;1;2323295;4050471-2
Caeri;Caeri;NE;2_Braun1835_page052.iob;PLACEmentioned;;5;2180522;4089100-8
Vulci;Vulci;NE;2_Braun1835_page052.iob;PLACEmentioned;;6;2072886;4064068-1
Ceri;Ceri;NE;2_Braun1835_page052.iob;PLACEmentioned;;10;2180522;4089100-8
Vuldi;Vuldi;NE;2_Braun1835_page052.iob;PLACEmentioned;;10;2072886;4064068-1
Rom;Rom;NE;2_Braun1835_page053.iob;PLACEfrom;;1;2323295;4050471-2
Chiusi;Chiusi;NE;2_Braun1835_page053.iob;PLACEmentioned;;12;2337545;4085259-3
Val di Chiana;Val di Chiana;NE NE NE;2_Braun1835_page053.iob;PLACEmentioned;;14;2757696;4275139-1
Rom;Rom;NE;2_Braun1835_page054.iob;PLACEfrom;;1;2323295;4050471-2
Bernay;Bernay;NE;2_Braun1835_page054.iob;PLACEmentioned;;2;2081479;4080375-2
Pompeji;Pompeji;NE;2_Braun1835_page054.iob;PLACEmentioned;;2;2071633;4046755-7
