String;String korrekt;Postag;File;Netag;SentenceNr;GND;VIAF;
Braun;Braun;NN;2_Braun1835_page042.iob;PERauthor;1;116415738;57366272;
Gerhard;Gerhard;NE;2_Braun1835_page042.iob;PERaddressee;1;118717030;77110765;
Laake;Leake;NN;2_Braun1835_page042.iob;PERmentioned;4;116848383;27833332;
Leake;Leake;NN;2_Braun1835_page042.iob;PERmentioned;6;116848383;27833332;
Leake;Leake;NN;2_Braun1835_page042.iob;PERmentioned;8;116848383;27833332;
Kramer;Kramer;NE;2_Braun1835_page042.iob;PERmentioned;9;11637599X;49975309;
Leake;Leake;NN;2_Braun1835_page042.iob;PERmentioned;9;116848383;27833332;
Bekker;Bekker;NE;2_Braun1835_page042.iob;PERmentioned;13;118850210;44387193;
Spoh's;Spon;NE;2_Braun1835_page042.iob;PERmentioned;14;119228998;49290079;
Wheler's;Wheler;NE;2_Braun1835_page042.iob;PERmentioned;14;128378565;41961971;
Braun;Braun;NN;2_Braun1835_page043.iob;PERauthor;1;116415738;57366272;
Gerhard;Gerhard;NE;2_Braun1835_page043.iob;PERaddressee;1;118717030;77110765;
Cockerell;Cockerell;NN;2_Braun1835_page043.iob;PERmentioned;2;119024187;88781533;
Nike apteros;Nike;NN NE;2_Braun1835_page043.iob;PERmentioned;4;118786245;37712095;
Braun;Braun;NE;2_Braun1835_page044.iob;PERauthor;2;116415738;57366272;
Gerhard;Gerhard;NE;2_Braun1835_page044.iob;PERaddressee;2;118717030;77110765;
Spohn;Spon;NN;2_Braun1835_page044.iob;PERmentioned;5;119228998;49290079;
Leake;Leake;NN;2_Braun1835_page044.iob;PERmentioned;5;116848383;27833332;
Braun;Braun;NN;2_Braun1835_page045.iob;PERauthor;1;116415738;57366272;
Gerhard;Gerhard;NE;2_Braun1835_page045.iob;PERaddressee;1;118717030;77110765;
Braun;Braun;NN;2_Braun1835_page046.iob;PERauthor;1;116415738;57366272;
Gerhard;Gerhard;NE;2_Braun1835_page046.iob;PERaddressee;1;118717030;77110765;
Kramer;Kramer;NE;2_Braun1835_page046.iob;PERmentioned;5;11637599X;49975309;
Zeus;Zeus;NE;2_Braun1835_page046.iob;PERmentioned;6;118772635;3266770;
Athena;Athena;NE;2_Braun1835_page046.iob;PERmentioned;6;118504851;74643725;
Poseidon;Poseidon;NE;2_Braun1835_page046.iob;PERmentioned;6;119156571;18025486;
Leake;Leake;NN;2_Braun1835_page046.iob;PERmentioned;7;116848383;27833332;
Kramers;Kramer;NE;2_Braun1835_page046.iob;PERmentioned;8;11637599X;49975309;
Braun;Braun;NN;2_Braun1835_page047.iob;PERauthor;1;116415738;57366272;
Gerhard;Gerhard;NE;2_Braun1835_page047.iob;PERaddressee;1;118717030;77110765;
Leake;Leake;NN;2_Braun1835_page047.iob;PERmentioned;4;116848383;27833332;
Pausanias;Pausanias;NE;2_Braun1835_page047.iob;PERmentioned;7;118592246;77132959;
Bekker;Bekker;NE;2_Braun1835_page047.iob;PERmentioned;10;118850210;44387193;
Kaisers F. Valerius Severus;Kaiser F. Valerius Severus;NN NE NE NN;2_Braun1835_page047.iob;PERmentioned;16;0;89764900;
Braun;Braun;NN;2_Braun1835_page048.iob;PERauthor;1;116415738;57366272;
Gerhard;Gerhard;NE;2_Braun1835_page048.iob;PERaddressee;1;118717030;77110765;
Minerva;Minerva;NE;2_Braun1835_page048.iob;PERmentioned;9;118986155;13107718;
Thorwaldsen;Thorwaldsen;NE;2_Braun1835_page048.iob;PERmentioned;10;13100325;118622323;
Campanaris;Campanari;NE;2_Braun1835_page048.iob;PERmentioned;11;0;0;die Campanari im Plural
Braun;Braun;NN;2_Braun1835_page049.iob;PERauthor;1;116415738;57366272;
Gerhard;Gerhard;NE;2_Braun1835_page049.iob;PERaddressee;1;118717030;77110765;
Bacchus;Bacchus;NN;2_Braun1835_page049.iob;PERmentioned;3;118651439;27864934;
Helena;Helena;NE;2_Braun1835_page049.iob;PERmentioned;4;118548778;45094221;
Menelaus;Menelaus;NE;2_Braun1835_page049.iob;PERmentioned;5;1019103213;228076313;
Aphrodite;Aphrodite;NN;2_Braun1835_page049.iob;PERmentioned;5;118649809;37709888;
FlÃ¼gelknaben;Flügelknabe;NN;2_Braun1835_page049.iob;PERmentioned;5;118530941;37707885;
Braun;Braun;NE;2_Braun1835_page050.iob;PERauthor;3;116415738;57366272;
Gerhard;Gerhard;NE;2_Braun1835_page050.iob;PERaddressee;3;118717030;77110765;
Homer;Homer;NN;2_Braun1835_page050.iob;PERmentioned;3;11855333X;224924963;
Odysseus;Odysseus;NE;2_Braun1835_page050.iob;PERmentioned;4;118589385;62341158;
Hermes;Hermes;NE;2_Braun1835_page050.iob;PERmentioned;5;118639560;126167375;
Held von Ithaka;Held von Ithaka;NN APPR NN;2_Braun1835_page050.iob;PERmentioned;5;118589385;62341158;
Tiresias;Tiresias;NN;2_Braun1835_page050.iob;PERmentioned;5;118801562;62345047;
Hermes;Hermes;NE;2_Braun1835_page050.iob;PERmentioned;12;118639560;126167375;
Tiresias;Tiresias;NN;2_Braun1835_page050.iob;PERmentioned;12;118801562;62345047;
Hermes;Hermes;NE;2_Braun1835_page050.iob;PERmentioned;13;118639560;126167375;
Tursus;Turms;NN;2_Braun1835_page050.iob;PERmentioned;13;118639560;126167375;"gehört zusammen; eine etruskische Variante des Hermes"
Aitas;Aitas;NE;2_Braun1835_page050.iob;PERmentioned;13;118639560;126167375;"gehört zusammen; eine etruskische Variante des Hermes"
